iter	Passed	Remaining
0	174	174287
1	175	87501
2	176	58549
3	177	44167
4	179	35721
5	180	29945
6	181	25757
7	182	22670
8	184	20261
9	184	18306
10	185	16701
11	186	15369
12	187	14229
13	188	13260
14	189	12426
15	190	11690
16	191	11055
17	193	10531
18	194	10038
19	196	9620
20	197	9214
21	198	8837
22	199	8490
23	200	8166
24	201	7868
25	202	7590
26	203	7329
27	204	7092
28	205	6870
29	206	6684
30	207	6496
31	208	6317
32	209	6145
33	210	5981
34	211	5828
35	212	5685
36	213	5550
37	214	5422
38	215	5302
39	216	5189
40	217	5085
41	218	4986
42	219	4886
43	221	4810
44	222	4728
45	223	4640
46	224	4557
47	226	4487
48	227	4415
49	228	4337
50	229	4268
51	230	4195
52	230	4127
53	231	4061
54	232	3997
55	233	3935
56	234	3886
57	236	3844
58	237	3790
59	238	3735
60	239	3683
61	240	3634
62	241	3585
63	241	3537
64	242	3490
65	243	3444
66	244	3401
67	245	3358
68	245	3317
69	246	3276
70	247	3236
71	248	3203
72	250	3180
73	251	3146
74	252	3112
75	253	3079
76	254	3045
77	254	3012
78	255	2979
79	256	2947
80	257	2915
81	257	2887
82	258	2854
83	259	2825
84	260	2799
85	260	2772
86	261	2745
87	262	2724
88	264	2710
89	266	2690
90	267	2667
91	267	2644
92	268	2621
93	269	2599
94	270	2579
95	271	2558
96	272	2536
97	273	2516
98	274	2496
99	275	2476
100	276	2456
101	276	2437
102	277	2419
103	280	2417
104	282	2404
105	283	2387
106	284	2370
107	284	2351
108	285	2333
109	286	2316
110	287	2298
111	287	2282
112	288	2265
113	289	2249
114	290	2233
115	291	2218
116	291	2201
117	292	2185
118	294	2177
119	295	2168
120	296	2155
121	297	2141
122	298	2127
123	299	2116
124	300	2103
125	301	2089
126	302	2076
127	302	2063
128	303	2051
129	304	2039
130	305	2026
131	306	2014
132	307	2002
133	308	1994
134	309	1985
135	310	1974
136	311	1963
137	312	1952
138	313	1941
139	314	1929
140	314	1918
141	315	1906
142	316	1896
143	317	1885
144	318	1875
145	318	1865
146	319	1855
147	320	1845
148	321	1835
149	322	1826
150	323	1821
